,tweet_id,name,type,rating_numerator,rating_denominator,rating
497,813142292504645637,None,None,13,10,1.3
498,813130366689148928,None,None,12,10,1.2
499,813127251579564032,None,doggo,11,10,1.1
500,813112105746448384,Toby,None,12,10,1.2
501,813096984823349248,Rocky,doggo,11,10,1.1
502,813081950185472002,Baron,None,11,10,1.1
503,813066809284972545,Tyr,None,12,10,1.2
504,813051746834595840,Bauer,None,13,10,1.3
505,812781120811126785,Swagger,None,10,10,1.0
507,812709060537683968,Brandi,None,12,10,1.2
508,812503143955202048,None,None,13,10,1.3
509,812466873996607488,Mary,None,12,10,1.2
510,812372279581671427,Moe,None,13,10,1.3
511,811985624773361665,Ted,None,11,10,1.1
512,811744202451197953,Halo,None,13,10,1.3
513,811647686436880384,None,None,11,10,1.1
514,811627233043480576,Augie,None,10,10,1.0
515,811386762094317568,Craig,pupper,11,10,1.1
517,810896069567610880,Hunter,None,11,10,1.1
518,810657578271330305,Pavlov,None,11,10,1.1
519,810284430598270976,Phil,None,13,10,1.3
520,810254108431155201,Gus,None,12,10,1.2
521,809920764300447744,None,None,10,10,1.0
523,809448704142938112,None,None,12,10,1.2
524,809220051211603969,Kyro,None,12,10,1.2
525,809084759137812480,Wallace,None,11,10,1.1
526,808838249661788160,Ito,None,13,10,1.3
527,808733504066486276,None,pupper,12,10,1.2
528,808501579447930884,Koda,None,12,10,1.2
529,808344865868283904,Seamus,None,11,10,1.1
531,808106460588765185,None,pupper,12,10,1.2
532,808001312164028416,Cooper,None,12,10,1.2
533,807621403335917568,Ollie,pupper,14,10,1.4
534,807106840509214720,Stephan,None,13,10,1.3
536,807010152071229440,Lennon,None,12,10,1.2
537,806629075125202948,None,None,13,10,1.3
539,806576416489959424,None,None,13,10,1.3
540,806542213899489280,Waffles,None,11,10,1.1
542,806219024703037440,incredibly,None,11,10,1.1
544,805932879469572096,Major,None,12,10,1.2
545,805826884734976000,Duke,None,12,10,1.2
547,805520635690676224,Zeke,None,13,10,1.3
548,805487436403003392,Sansa,None,12,10,1.2
549,805207613751304193,Shooter,None,12,10,1.2
550,804738756058218496,Django,None,12,10,1.2
551,804475857670639616,None,None,13,10,1.3
553,804026241225523202,Bo,None,13,10,1.3
554,803773340896923648,Diogi,puppo,12,10,1.2
556,803638050916102144,None,pupper,13,10,1.3
557,803380650405482500,Sonny,None,12,10,1.2
559,803276597545603072,Winston,None,11,10,1.1
560,802952499103731712,Marley,None,12,10,1.2
562,802600418706604034,Bailey,None,11,10,1.1
563,802572683846291456,Winnie,None,12,10,1.2
564,802323869084381190,Severus,None,13,10,1.3
565,802265048156610565,None,pupper,11,10,1.1
567,802239329049477120,Loki,puppo,12,10,1.2
569,801958328846974976,Ronnie,None,12,10,1.2
570,801854953262350336,None,None,11,10,1.1
571,801538201127157760,Wallace,None,12,10,1.2
572,801285448605831168,None,None,10,10,1.0
573,801167903437357056,Milo,None,13,10,1.3
575,801115127852503040,Bones,pupper,12,10,1.2
576,800859414831898624,None,doggo,11,10,1.1
578,800751577355128832,Mauve,None,12,10,1.2
579,800513324630806528,Chef,None,11,10,1.1
580,800459316964663297,None,pupper,12,10,1.2
582,800388270626521089,Doc,floofer,12,10,1.2
584,800141422401830912,Peaches,None,13,10,1.3
585,800018252395122689,None,doggo,11,10,1.1
587,799757965289017345,Sobe,doggo,13,10,1.3
588,799422933579902976,Longfellow,None,12,10,1.2
590,799297110730567681,Jeffrey,None,11,10,1.1
591,799063482566066176,Mister,None,11,10,1.1
